wilayah,desa
Cikarang Utara,Wangunharja
Cikarang Utara,Harjamekar
Cikarang Utara,Pasirgombong
Cikarang Utara,Mekarmukti
Cikarang Utara,Simpangan
Cikarang Utara,Tanjungsari
Cikarang Utara,Cikarangkota
Cikarang Utara,Karangbaru
Cikarang Utara,Karangasih
Cikarang Utara,Karangraharja
Cikarang Utara,Waluya
